Text,Category
He scored a hat-trick in the football match.,Sports
The election results were announced today.,Politics
The election results were announced today.,Politics
He scored a hat-trick in the football match.,Sports
The award show was held in Los Angeles.,Entertainment
A new vaccine was developed for the virus.,Health
Cricket World Cup will begin next month.,Sports
Regular exercise helps in maintaining good health.,Health
The new smartphone features an AI-powered camera.,Technology
A new vaccine was developed for the virus.,Health
Machine learning is revolutionizing many industries.,Technology
The singer released a new album.,Entertainment
The team won the championship after a thrilling match.,Sports
A new vaccine was developed for the virus.,Health
He scored a hat-trick in the football match.,Sports
The singer released a new album.,Entertainment
New policies were introduced in the parliament.,Politics
A breakthrough in quantum computing was achieved.,Technology
A new vaccine was developed for the virus.,Health
A new vaccine was developed for the virus.,Health
Regular exercise helps in maintaining good health.,Health
Regular exercise helps in maintaining good health.,Health
A new vaccine was developed for the virus.,Health
Cricket World Cup will begin next month.,Sports
Cricket World Cup will begin next month.,Sports
Machine learning is revolutionizing many industries.,Technology
Regular exercise helps in maintaining good health.,Health
He scored a hat-trick in the football match.,Sports
Cricket World Cup will begin next month.,Sports
The president addressed the nation last night.,Politics
The new smartphone features an AI-powered camera.,Technology
A new vaccine was developed for the virus.,Health
A new vaccine was developed for the virus.,Health
Regular exercise helps in maintaining good health.,Health
He scored a hat-trick in the football match.,Sports
The president addressed the nation last night.,Politics
New policies were introduced in the parliament.,Politics
He scored a hat-trick in the football match.,Sports
The president addressed the nation last night.,Politics
The singer released a new album.,Entertainment
A new vaccine was developed for the virus.,Health
Doctors recommend 8 hours of sleep for adults.,Health
New policies were introduced in the parliament.,Politics
The award show was held in Los Angeles.,Entertainment
A new vaccine was developed for the virus.,Health
The award show was held in Los Angeles.,Entertainment
The movie broke all box office records.,Entertainment
Regular exercise helps in maintaining good health.,Health
A new vaccine was developed for the virus.,Health
Machine learning is revolutionizing many industries.,Technology
The president addressed the nation last night.,Politics
The president addressed the nation last night.,Politics
Cricket World Cup will begin next month.,Sports
The new smartphone features an AI-powered camera.,Technology
The new smartphone features an AI-powered camera.,Technology
The award show was held in Los Angeles.,Entertainment
The president addressed the nation last night.,Politics
The new smartphone features an AI-powered camera.,Technology
The movie broke all box office records.,Entertainment
He scored a hat-trick in the football match.,Sports
A breakthrough in quantum computing was achieved.,Technology
The team won the championship after a thrilling match.,Sports
Regular exercise helps in maintaining good health.,Health
New policies were introduced in the parliament.,Politics
The election results were announced today.,Politics
He scored a hat-trick in the football match.,Sports
Doctors recommend 8 hours of sleep for adults.,Health
New policies were introduced in the parliament.,Politics
He scored a hat-trick in the football match.,Sports
The singer released a new album.,Entertainment
The singer released a new album.,Entertainment
The new smartphone features an AI-powered camera.,Technology
Machine learning is revolutionizing many industries.,Technology
The new smartphone features an AI-powered camera.,Technology
He scored a hat-trick in the football match.,Sports
Doctors recommend 8 hours of sleep for adults.,Health
The president addressed the nation last night.,Politics
The award show was held in Los Angeles.,Entertainment
Machine learning is revolutionizing many industries.,Technology
The team won the championship after a thrilling match.,Sports
The election results were announced today.,Politics
The movie broke all box office records.,Entertainment
A new vaccine was developed for the virus.,Health
The movie broke all box office records.,Entertainment
New policies were introduced in the parliament.,Politics
A breakthrough in quantum computing was achieved.,Technology
Regular exercise helps in maintaining good health.,Health
The election results were announced today.,Politics
Cricket World Cup will begin next month.,Sports
Regular exercise helps in maintaining good health.,Health
The movie broke all box office records.,Entertainment
The award show was held in Los Angeles.,Entertainment
Cricket World Cup will begin next month.,Sports
Cricket World Cup will begin next month.,Sports
He scored a hat-trick in the football match.,Sports
The team won the championship after a thrilling match.,Sports
Cricket World Cup will begin next month.,Sports
The singer released a new album.,Entertainment
Doctors recommend 8 hours of sleep for adults.,Health
The election results were announced today.,Politics
The singer released a new album.,Entertainment
The election results were announced today.,Politics
Doctors recommend 8 hours of sleep for adults.,Health
Regular exercise helps in maintaining good health.,Health
The movie broke all box office records.,Entertainment
The award show was held in Los Angeles.,Entertainment
New policies were introduced in the parliament.,Politics
Regular exercise helps in maintaining good health.,Health
The team won the championship after a thrilling match.,Sports
The team won the championship after a thrilling match.,Sports
A breakthrough in quantum computing was achieved.,Technology
Cricket World Cup will begin next month.,Sports
The team won the championship after a thrilling match.,Sports
The movie broke all box office records.,Entertainment
Cricket World Cup will begin next month.,Sports
A new vaccine was developed for the virus.,Health
The singer released a new album.,Entertainment
New policies were introduced in the parliament.,Politics
Regular exercise helps in maintaining good health.,Health
The movie broke all box office records.,Entertainment
Doctors recommend 8 hours of sleep for adults.,Health
Regular exercise helps in maintaining good health.,Health
Doctors recommend 8 hours of sleep for adults.,Health
Doctors recommend 8 hours of sleep for adults.,Health
The singer released a new album.,Entertainment
Doctors recommend 8 hours of sleep for adults.,Health
The president addressed the nation last night.,Politics
Machine learning is revolutionizing many industries.,Technology
Machine learning is revolutionizing many industries.,Technology
A breakthrough in quantum computing was achieved.,Technology
A breakthrough in quantum computing was achieved.,Technology
New policies were introduced in the parliament.,Politics
The president addressed the nation last night.,Politics
A breakthrough in quantum computing was achieved.,Technology
Cricket World Cup will begin next month.,Sports
Machine learning is revolutionizing many industries.,Technology
The movie broke all box office records.,Entertainment
Doctors recommend 8 hours of sleep for adults.,Health
Regular exercise helps in maintaining good health.,Health
He scored a hat-trick in the football match.,Sports
The president addressed the nation last night.,Politics
The team won the championship after a thrilling match.,Sports
The new smartphone features an AI-powered camera.,Technology
The team won the championship after a thrilling match.,Sports
Doctors recommend 8 hours of sleep for adults.,Health
The new smartphone features an AI-powered camera.,Technology
The movie broke all box office records.,Entertainment
Regular exercise helps in maintaining good health.,Health
He scored a hat-trick in the football match.,Sports
Doctors recommend 8 hours of sleep for adults.,Health
